Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:00:55.400	55.4	00:01:02.400	62.4	00:00:07.000	7.0	K295v	L60va			1								CF_I_Rel								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:02.800	62.8	00:01:09.000	69.0	00:00:06.200	6.2	K295v	L60va			1								CF_I_M						6		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:09.200	69.2	00:01:16.200	76.2	00:00:07.000	7.0	K295v	L60va			1								CF_I_Rel						7		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:16.400	76.4	00:01:21.400	81.4	00:00:05.000	5.0	K295v	L60va			1								CF_I_M						8		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:21.400	81.4	00:01:28.600	88.6	00:00:07.200	7.2	K295v	L60va			1								CF_I_Rel								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:29.000	89.0	00:01:35.600	95.6	00:00:06.600	6.6	K295v	L60va			1								CF_U_Imp 								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:36.000	96.0	00:01:45.800	105.8	00:00:09.800	9.8	K295v	L60va			1								CF_I_Imp 								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:46.000	106.0	00:01:50.400	110.4	00:00:04.400	4.4	K295v	L60va			1								CF_U_M						12		331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:50.800	110.8	00:01:56.200	116.2	00:00:05.400	5.4	K295v	L60va			1								CF_I_Rel								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
00:01:56.600	116.6	00:02:05.400	125.4	00:00:08.800	8.8	K295v	L60va			1								CF_U_Imp 								331																						file:///media/vbspace/ddd/data/NotkerKleinere/N_DeM/3_corrections/N_DeM_1.eaf
