Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	M1a DDDTS Lemma	Standard W	S1a Satz	Sprache	Übersetzung	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Tg2a Vers	Identifizierer	File Path
00:00:45.600	45.6	00:00:46.200	46.2	00:00:00.600	0.6				so					ADV	sa	CF_U_M 	goh	so, derart			130							107		sâ			ADV		sâ			1196	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:46.200	46.2	00:00:47.200	47.2	00:00:01.000	1.0				muodi	pos				ADJ	mode	CF_U_M 	goh	müde	ja,jo		130							107		môdé			ADJD	ja,jo	môdé			1197	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:47.200	47.2	00:00:48.200	48.2	00:00:01.000	1.0				inti					KO	unde	CF_I_M 	goh	und			130							107		unde			KON		unde			1198	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:48.200	48.2	00:00:49.600	49.6	00:00:01.400	1.4				gilouben	ind_pres_sg_3				VV	globet	CF_I_M 	goh	glauben (an); mit sih: verlassen, ablassen (von); sich entfernen	wk1a		130							107		glôbét			VVFIN	wk1a	glôbét			1199	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:49.600	49.6	00:00:50.200	50.2	00:00:00.600	0.6				sih	sg_acc_3				PRF	sih	CF_I_M 	goh	sich			130							107		sih			PRF		sih			1200	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:50.200	50.2	00:00:50.600	50.6	00:00:00.400	0.4									$.	. 						130							107		. 			$.		. 				file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:50.600	50.6	00:00:51.400	51.4	00:00:00.800	0.8				dër	neut_sg_nom				DD	daz	CF_U_M 	goh	der, die, das			130							107		Daz			DDA		Daz			1201	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:51.400	51.4	00:00:52.400	52.4	00:00:01.000	1.0				meri	sg_nom				NA	mere	CF_U_M 	goh	Meer, die See	ja_neut		130							107		mére			NA	ja_masc,neut	mére			1202	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:52.400	52.4	00:00:55.000	55.0	00:00:02.600	2.6				bizeihhanen	ind_pres_sg_3				VV	bezeihchenet	CF_U_M 	goh	bezeichnen, bedeuten	wk1a		130							107		bezêihchenet			VVFIN	wk1a	bezêihchenet			1203	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
00:00:55.000	55.0	00:00:56.000	56.0	00:00:01.000	1.0				dëse	fem_sg_acc				DD	dise	CF_U_M 	goh	dieser, diese, dieses			130							108		díse			DD		díse			1204	file:///media/vbspace/ddd/data/Physiologus/5_corrections/APh_10_Serra.eaf
