Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	Ms1 Seite Ms.2	Ms1 Seite Ms.1	Glosse	R Reim	Tg1a Kapitel	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	Ms1 Seite Ms.3	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ms2 Zeile Ms.2	Ms2 Zeile Ms.1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Ms2 Zeile Ms.3	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:19:57.600	1197.6	00:20:08.000	1208.0	00:00:10.400	10.4		D54r																	16																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:20:08.000	1208.0	00:20:20.000	1220.0	00:00:12.000	12.0		D54r																	17																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:20:20.000	1220.0	00:20:32.800	1232.8	00:00:12.800	12.8		D54r																	18																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:20:32.800	1232.8	00:20:42.400	1242.4	00:00:09.600	9.6		D54r																	19																								file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:20:42.400	1242.4	00:23:59.200	1439.2	00:03:16.800	196.8		D54v																		595	194																						file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:20:42.400	1242.4	00:20:52.800	1252.8	00:00:10.400	10.4		D54v																	1	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:20:52.800	1252.8	00:21:02.200	1262.2	00:00:09.400	9.4		D54v																	2	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:21:02.200	1262.2	00:21:15.000	1275.0	00:00:12.800	12.8		D54v																	3	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:21:15.000	1275.0	00:21:27.600	1287.6	00:00:12.600	12.6		D54v																	4	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
00:21:27.600	1287.6	00:21:38.200	1298.2	00:00:10.600	10.6		D54v																	5	595																							file:///media/vbspace/ddd/data/NotkerKleinere/N_PartLog/2_corrections/N_Part_Log.eaf
