Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	R Reim	Tg1a Kapitel	Ms1 Seite	Lemma	M2c Flexion Beleg 2	S2 Stammbaum	Ms2 Zeile	Tg2b Halbvers	Standard W	M1a DDDTS Lemma	S1a Satz	Sprache	Übersetzung	Tg3a Capitulum	M2b Flexion Beleg 1	Ts1 Seite Ed.2	Ts1 Seite Ed.1	Tg Kommentar	Ts1 Seite Ed.3	R Kommentar	Tg1b Unterkapitel	S1b Hierarchie	Referenz	Tg3b Section	Ts2 Zeile Ed.1	Referenztext R	Manuskript W	Ts2 Zeile Ed.2	Ts2 Zeile Ed.3	Tg3c Canon	M1b DDDTS Beleg	M2a Flexion Lemma	Referenztext W	Manuskript R	Lemmanachweis	Tg2a Vers	Identifizierer	File Path
00:03:00.200	180.2	00:03:01.800	181.8	00:00:01.600	1.6		1		nemnen					ginemnit	VV	CF_U_M 	goh	nennen		wk1a						7		::860				ganemnit				VVPP	wk1a	ganemnit				::860	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:02.200	182.2	00:03:03.600	183.6	00:00:01.400	1.4		1		Esaias	sg_nom				Esaias	NE	CF_U_M	goh	Jesaja		a_masc						7		::870				Isaias				NE	a_masc	Isaias				::870	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:03.600	183.6	00:03:04.400	184.4	00:00:00.800	0.8		1		ouh					ouh	ADV	CF_U_M	goh	auch								7		::880				auh				ADV		auh				::880	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:04.400	184.4	00:03:06.000	186.0	00:00:01.600	1.6		1		offano	comp				offanōr	ADV	CF_U_M	goh	offen, deutlich								7		::890				offonor				ADV		offonor				::890	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:06.000	186.0	00:03:06.800	186.8	00:00:00.800	0.8		1		dër	masc_sg_acc				dën	DD	CF_U_M	goh	der, die, das								7		::900				den				DDA		den				::900	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:06.800	186.8	00:03:08.200	188.2	00:00:01.400	1.4		1		sëlb	masc_sg_acc_wk				sëlbun	DD	CF_U_M	goh	derselbe		n						7		::910				selbun				DD	a,o	selbun				::910	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:08.200	188.2	00:03:09.200	189.2	00:00:01.000	1.0		1		sun	sg_acc				sunu	NA	CF_U_M	goh	Sohn		u_masc						7		::920				sunu				NA	i_masc	sunu				::920	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:09.200	189.2	00:03:10.200	190.2	00:00:01.000	1.0		1		fona					fona	AP	CF_U_M	goh	von								7		::930				fona				APPR		fona				::930	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:10.200	190.2	00:03:11.400	191.4	00:00:01.200	1.2		1		fater	sg_nom				fater	NA	CF_U_M	goh	Vater		er_masc						7		::940				fater				NA	er_masc	fater				::940	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
00:03:11.400	191.4	00:03:13.400	193.4	00:00:02.000	2.0		1		gibëran	p_pos_masc_sg_acc_st				giboranan	VV	CF_U_M	goh	gebären		st4						7		::950				gaboranan				VVPPS	st4	gaboranan				::950	file:///media/vbspace/ddd/data/Isidor/9_corrections/I_DeFide_1.eaf
